Designator,Footprint,Quantity,Value,LCSC Part #
C199,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,0.1UF,
C300,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,18-PF,
C301,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,9-35PF,
"C500, C501",C_Rect_L7.0mm_W2.0mm_P5.00mm,2,20 pF,
C502,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,680 pF,
"C503, C504, X1, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X2, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X3, X30, X31, X32, X33, X34, X35, X36, X37, X38, X39, X4, X40, X41, X42, X43, X44, X45, X46, X47, X48, X49, X5, X50, X51, X52, X53, X54, X55, X56, X57, X58, X59, X6, X60, X61, X62, X63, X64, X65, X66, X67, X68, X69, X7, X70, X71, X72, X73, X74, X75, X76, X77, X78, X79, X8, X80, X9",C_Rect_L7.0mm_W2.0mm_P5.00mm,82,0.1uF,
C505,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,0.0056uF,
J11,TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Serial A/B,
J200,PinHeader_1x03_P2.54mm_Vertical,1,DIAG,
J3,PinHeader_1x09_P2.54mm_Vertical,1,Ethernet,
K199,CP_Radial_Tantal_D6.0mm_P2.50mm,1,10UF,
K500,CP_Radial_Tantal_D6.0mm_P2.50mm,1,10 uF,
"K900, K901, K903, K904",CP_Radial_D10.0mm_P5.00mm,4,1000uF,
R100,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,150 ohm,
R101,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100 ohm,
R300,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200Kohm,
R301,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470-OHM,
R501,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,510 Ohm,
R502,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3K Ohm,
"S109, S111, S117, S120, S121, S122, S123, S124, S125, S126, S127, S800",R_Array_SIP10,12,4.7k Ohm,
"S113, S115, S116",R_Array_SIP10,3,470 Ohm,
"S114, S502",R_Array_SIP10,2,1k Ohm,
S200,R_Array_SIP8,1,68 Ohm,
S400,R_Array_SIP8,1,4.7K Ohm,
S500,R_Array_SIP10,1,40.2 Ohm 1%,
U100,68020,1,68020,
"U102, U103, U106, U230, U231, U232, U518, U519, U714, U800, U805",DIP-20_W7.62mm,11,PAL16L8,
"U104, U600",DIP-14_W7.62mm,2,74F04,
U107,DIP-24_W7.62mm,1,PAL20X10,
U108,DIP-14_W7.62mm,1,74F00,
U110,Oscillator_DIP-14,1,40.000 Mhz,
U113,DIP-14_W7.62mm,1,74AS74,
"U114, U520",DIP-16_W7.62mm,2,74F175,
U115,DIP-16_W7.62mm,1,74LS590,
"U122, U720, U721, U722, U723",DIP-20_W7.62mm,5,ALS374,
"U123, U226, U305, U510, U511, U512",DIP-20_W7.62mm,6,ALS373,
U130,DIP-20_W7.62mm,1,74F374,
U131,DIP-20_W7.62mm,1,PAL16R6,
U132,DIP-20_W7.62mm,1,ALS244,
U199,DIP-8_W7.62mm,1,7705,
"U200, U201",DIP-22_W7.62mm,2,7188,
U2003,DIP-14_W7.62mm,1,74AS04,
U2004,DIP-14_W7.62mm,1,74LS125,
"U202, U203, U205, U206, U207, U208",DIP-20_W7.62mm,6,2168,
U210,DIP-16_W7.62mm,1,LS2518,
"U212, U213, U215, U217, U218",DIP-20_W7.62mm,5,ALS245,
U223,DIP-20_W7.62mm,1,74F534,
U224,DIP-16_W7.62mm,1,AM27S19,
"U225, U227, U304",DIP-20_W7.62mm,3,ALS273,
"U228, U229",PinHeader_2x04_P2.54mm_Vertical,2,LED_Block,
U300,DIP-28_W15.24mm,1,27512,
U301,DIP-24_W15.24mm,1,28C16,
U302,DIP-24_W15.24mm,1,7170,
U303,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,32768Hz,
"U307, U310, U311, U802",DIP-24_W7.62mm,4,PAL20L8,
U309,Battery_Panasonic_CR2032-VS1N_Vertical_CircularHoles,1,3-VOLT,
U312,DIP-24_W7.62mm,1,PAL8L14,
U313,DIP-20_W7.62mm,1,PAL16R4,
U401,DIP-40_W15.24mm,1,Z8530,
U402,Oscillator_DIP-8,1,4.9152 Mhz,
U408,DIP-14_W7.62mm,1,74LS04,
U500,DIP-48_W15.24mm,1,AM7990,
U501,DIP-24_W7.62mm,1,AM7992,
U502,Crystal_HC49-U_Vertical,1,20 Mhz,
U503,DIP-16_W7.62mm,1,TRANSF,
"U514, U515, U516, U517",DIP-24_W7.62mm,4,ALS652,
"U710, U711, U712, U713",DIP-14_W7.62mm,4,AS286,
U715,DIP-24_W7.62mm,1,PAL20R4,
U801,DIP-16_W7.62mm,1,74AS257,
"U803, U804",DIP-14_W7.62mm,2,74F64,
"U900, U901, U902, U903",PinHeader_1x30_P2.54mm_Vertical,4,SIMM,
"U904, U905, U906",DIP-16_W7.62mm,3,74AS258,
"U907, U908",DIP-14_W7.62mm,2,AS1032,
U909,DIP-16_W7.62mm,1,22 Ohm,
X301,CP_Radial_D10.0mm_P5.00mm,1,470UF,
